AMD;Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone;Hàng hóa chủ chốt;0
BCE;Công ty Cổ phần Xây dựng và Giao thông Bình Dương;Hàng hóa chủ chốt;0
BCG;Công ty Cổ phần Bamboo Capital;Hàng hóa chủ chốt;0
BMP;Công ty Cổ phần Nhựa Bình Minh;Hàng hóa chủ chốt;0
BRC;Công ty Cổ phần Cao su Bến Thành;Hàng hóa chủ chốt;0
BTT;Công ty Cổ phần Thương mại – Dịch vụ Bến Thành;Hàng hóa chủ chốt;0
C32;Công ty Cổ phần CIC39;Hàng hóa chủ chốt;0
C47;Công ty Cổ phần Xây dựng 47;Hàng hóa chủ chốt;0
CAV;Công ty Cổ phần Dây cáp điện Việt Nam;Hàng hóa chủ chốt;0
CCI;Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi;Hàng hóa chủ chốt;0
CDC;Công ty Cổ phần Chương Dương;Hàng hóa chủ chốt;0
CEE;Công ty Cổ phần Xây dựng Hạ tầng CII;Hàng hóa chủ chốt;0
CTD;Công ty Cổ phần Xây dựng COTECCONS;Hàng hóa chủ chốt;0
DAG;Công ty Cổ phần Tập đoàn Nhựa Đông Á;Hàng hóa chủ chốt;0
DIG;Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng;Hàng hóa chủ chốt;0
DLG;Công ty Cổ phần Tập đoàn Đức Long Gia Lai;Hàng hóa chủ chốt;0
DPG;Công ty Cổ phần Đạt Phương;Hàng hóa chủ chốt;0
DQC;Công ty Cổ phần Bóng đèn Điện Quang;Hàng hóa chủ chốt;0
EMC;Công ty Cổ phần Cơ điện Thủ Đức;Hàng hóa chủ chốt;0
EVG;Công ty Cổ phần Tập đoàn Everland;Hàng hóa chủ chốt;0
FCN;Công ty Cổ phần FECON;Hàng hóa chủ chốt;0
GEX;Tổng Công ty Cổ phần Thiết bị điện Việt Nam;Hàng hóa chủ chốt;0
HAS;Công ty Cổ phần HACISCO;Hàng hóa chủ chốt;0
HBC;Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình;Hàng hóa chủ chốt;0
HCD;Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD;Hàng hóa chủ chốt;0
HDG;Công ty Cổ phần Tập đoàn Hà Đô;Hàng hóa chủ chốt;0
HHS;Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy;Hàng hóa chủ chốt;0
HID;Công ty Cổ phần Halcom Việt Nam;Hàng hóa chủ chốt;0
HTI;Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO;Hàng hóa chủ chốt;0
HU1;Công ty Cổ phần Đầu tư và Xây dựng HUD1;Hàng hóa chủ chốt;0
